TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,TS_2,TS_3,TS_4,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20120101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.3420938255319149,0.0862142978723404,0.29414073936170204,-9999,-9999,-9999,-9999,-9999,-9999,4.500489361702128,261.4669787234044,-9999,-9999,0.04048936170212766,-9999,99.19078723404257,-4.410595744680852,0.094,-9999,1.8722765957446807,-1.8904169893536409,0.2969143409700489,17.457651945276822,3.0
20120102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.3936759708333333,0.029946520833333327,0.3338986225,-9999,-9999,-9999,-9999,-9999,-9999,1.2612708333333331,289.25204166666657,-9999,-9999,0.16870833333333335,-9999,98.84270833333336,-2.562791666666667,5.05,-9999,4.6885625,-1.5037631336900104,0.2765911134207336,10.6346272097041,3.0
20120103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.4870724875,0.02384881250000001,0.4045479445833336,-9999,-9999,-9999,-9999,-9999,-9999,0.9761458333333332,308.0171875,-9999,-9999,0.03475000000000001,-9999,98.14,0.5581875000000001,1.954,-9999,3.3762916666666665,-1.598241674337911,0.2415663609186169,14.69226156376532,3.0
20120104,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.4812030291666667,0.012284406250000005,0.4001959383333333,-9999,-9999,-9999,-9999,-9999,-9999,0.48775,307.52268750000013,-9999,-9999,0.08654166666666667,-9999,96.42720833333333,0.3753125,6.0360000000000005,-9999,4.635416666666668,-1.5356250675453251,0.250964616561326,14.739032632361429,3.0
20120105,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.4772583458333333,0.056075791666666666,0.3972432981250002,-9999,-9999,-9999,-9999,-9999,-9999,2.6056041666666667,303.5121666666667,-9999,-9999,0.0220625,-9999,95.34660416666668,0.2482500000000001,4.5779999999999985,-9999,3.1606666666666663,-1.7044772626671023,0.24757619226942734,16.45228415695538,3.0
20120106,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.3517028791666667,0.04995870833333333,0.3011079406250001,-9999,-9999,-9999,-9999,-9999,-9999,2.2659583333333333,280.46849999999995,-9999,-9999,0.0,-9999,97.00927083333332,-4.1515,0.42400000000000015,-9999,1.8929791666666669,-2.169969170360752,0.2879641359119325,17.031542163504493,3.0
20120107,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.20707957291666665,0.06344072916666668,0.18678888666666665,-9999,-9999,-9999,-9999,-9999,-9999,3.0573958333333335,245.63431250000008,-9999,-9999,0.0,-9999,97.66860416666668,-9.954395833333333,0.308,-9999,1.4592291666666666,-2.7272055228112424,0.3332378624998049,18.533993900989486,3.0
20120108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.16701853958333335,0.11163833333333334,0.1539670877083333,-9999,-9999,-9999,-9999,-9999,-9999,6.5261458333333335,225.1407291666667,-9999,-9999,0.0,-9999,99.21772916666664,-11.842979166666673,0.076,-9999,1.1647708333333333,-2.882355154274965,0.3734514069259513,19.714880379450094,3.0
20120109,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.21697011458333335,0.06416854166666668,0.195028050625,-9999,-9999,-9999,-9999,-9999,-9999,3.047791666666667,252.87060416666688,-9999,-9999,0.0,-9999,99.86660416666666,-9.44925,0.214,-9999,1.3622291666666668,-2.6603885356443184,0.3293778459783618,16.08951800848076,3.0
20120110,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,0.2273287854166667,0.06173945833333332,0.20317792041666655,-9999,-9999,-9999,-9999,-9999,-9999,2.950083333333333,255.29345833333355,-9999,-9999,0.0,-9999,99.69114583333334,-9.047479166666667,0.266,-9999,1.1033125,-2.641364217937089,0.3329696193442177,18.77685524419124,3.0
